FID	IID	Sex
S28978	S28978	1
S28844	S28844	1
S29060	S29060	1
S28798	S28798	1
S29494	S29494	1
S29357	S29357	1
S29385	S29385	1
S29625	S29625	2
S29610	S29610	2
S29888	S29888	0
S29532	S29532	1
S29440	S29440	2
S37221	S37221	1
S37224	S37224	1
S37249	S37249	2
S37192	S37192	2
S37187	S37187	2
S37227	S37227	1
S37193	S37193	1
S37245	S37245	2
S37201	S37201	1
S35088	S35088	2
S37238	S37238	1
S37194	S37194	2
S35105	S35105	2
S35072	S35072	1
S35040	S35040	2
S37243	S37243	2
S35090	S35090	2
S35077	S35077	1
S35073	S35073	1
S35024	S35024	1
S35074	S35074	1
S35132	S35132	1
S35086	S35086	1
S35121	S35121	1
S35078	S35078	2
S37198	S37198	2
S37208	S37208	1
S35036	S35036	1
S37247	S37247	2
S35041	S35041	1
S35075	S35075	1
S35038	S35038	2
S35071	S35071	2
S35048	S35048	1
S37241	S37241	1
S37246	S37246	1
S35095	S35095	2
S37244	S37244	2
S35045	S35045	1
S35133	S35133	1
S35034	S35034	2
S35113	S35113	2
S35125	S35125	1
S35055	S35055	1
S35123	S35123	1
S37230	S37230	1
S35067	S35067	1
S35026	S35026	2
S35122	S35122	1
S35064	S35064	1
S35044	S35044	1
S35046	S35046	2
S35061	S35061	1
S35031	S35031	1
S35062	S35062	2
S35129	S35129	1
S37203	S37203	2
S37196	S37196	1
S35033	S35033	1
S35106	S35106	1
S35029	S35029	1
S37222	S37222	1
S35081	S35081	1
S35115	S35115	2
S35050	S35050	1
S37188	S37188	1
S37220	S37220	1
S37209	S37209	1
S35057	S35057	1
S35118	S35118	1
S35030	S35030	2
S35135	S35135	2
S37223	S37223	2
S37233	S37233	2
S37185	S37185	2
S35097	S35097	2
S35111	S35111	2
S37190	S37190	2
S37218	S37218	1
S35056	S35056	1
S35069	S35069	1
S35023	S35023	1
S37231	S37231	1
S37206	S37206	1
S35051	S35051	1
S35032	S35032	1
S35089	S35089	2
S37184	S37184	1
S37176	S37176	2
S35025	S35025	1
S35093	S35093	1
S37183	S37183	1
S37182	S37182	2
S35082	S35082	1
S35116	S35116	1
S35087	S35087	2
S35100	S35100	1
S37195	S37195	1
S35058	S35058	1
S37174	S37174	1
S37205	S37205	2
S37228	S37228	2
S37240	S37240	1
S35027	S35027	2
S37229	S37229	1
S35085	S35085	1
S37204	S37204	1
S35108	S35108	2
S35098	S35098	1
S37225	S37225	2
S37213	S37213	1
S37189	S37189	2
S37199	S37199	1
S35107	S35107	1
S37248	S37248	2
S37197	S37197	1
S35099	S35099	1
S37219	S37219	1
S35068	S35068	1
S37210	S37210	2
S35104	S35104	1
S37186	S37186	2
S35043	S35043	1
S35117	S35117	1
S37211	S37211	1
S35063	S35063	1
S35066	S35066	2
S35112	S35112	2
S37236	S37236	1
S37237	S37237	1
S37179	S37179	1
S37212	S37212	1
S35127	S35127	2
S37216	S37216	1
S35037	S35037	2
S37178	S37178	2
S37172	S37172	1
S35114	S35114	1
S35047	S35047	1
S37191	S37191	2
S35124	S35124	1
S35052	S35052	1
S37180	S37180	2
S35101	S35101	2
S37239	S37239	2
S35049	S35049	1
S35120	S35120	2
S35091	S35091	1
S35076	S35076	1
S35136	S35136	2
S37200	S37200	1
S37214	S37214	2
S35035	S35035	1
S35134	S35134	1
S37235	S37235	1
S35126	S35126	2
S35065	S35065	1
S35054	S35054	1
S35083	S35083	2
S35079	S35079	2
S35109	S35109	1
S35096	S35096	2
S37202	S37202	1
S35060	S35060	1
S37215	S37215	2
S35092	S35092	1
S37175	S37175	1
S37232	S37232	1
S35119	S35119	1
S37173	S37173	1
S35094	S35094	1
S35102	S35102	2
S35070	S35070	2
S37181	S37181	2
S35053	S35053	2
S35128	S35128	1
S37177	S37177	2
S35131	S35131	2
S35084	S35084	1
S37226	S37226	1
S35103	S35103	2
S37242	S37242	1
S37234	S37234	2
S37217	S37217	1
S37207	S37207	0
S35130	S35130	2
S35110	S35110	2
S35059	S35059	2
S35039	S35039	1
S35028	S35028	0
